Design Sequence,Sequence,Link Name,URL,Group,Subgroup
70,370,Staff / Others - Manage Annual Leave,https://charmswiki.com/wiki/292/staff-others-manage-annual-leave,Tenant & System Administration,"Users, Roles & Configuration"
71,371,"Staff / Others - Personal Details, Additional Info, Training and Contacts",https://charmswiki.com/wiki/44/staff-others-personal-details-additional-info-training-and-contacts,Tenant & System Administration,"Users, Roles & Configuration"
72,372,Staff / Others - Private,https://charmswiki.com/wiki/323/staff-others-private,Tenant & System Administration,"Users, Roles & Configuration"
73,373,Staff / Others - Progress,https://charmswiki.com/wiki/247/staff-others-progress,Tenant & System Administration,"Users, Roles & Configuration"
74,374,Staff / Others - Qualifications,https://charmswiki.com/wiki/293/staff-others-qualifications,Tenant & System Administration,"Users, Roles & Configuration"
75,377,Staff / Others - Self Enrolment on Courses,https://charmswiki.com/wiki/222/staff-others-self-enrolment-on-courses,Tenant & System Administration,"Users, Roles & Configuration"
76,378,Staff Hub - My Record,https://charmswiki.com/wiki/252/staff-hub-my-record,Tenant & System Administration,"Users, Roles & Configuration"
77,381,Third Party User - Account Setup,https://charmswiki.com/wiki/245/third-party-user-account-setup,Tenant & System Administration,"Users, Roles & Configuration"
78,91,Edit Lookup Lists - Action Automated Emails,https://charmswiki.com/wiki/231/edit-lookup-lists-action-automated-emails,Tenant & System Administration,Reference Data / Lookups
79,238,My Reports - Fostering OFSTED Dataset 2015-16 - Mapping Codes,https://charmswiki.com/wiki/14/my-reports-fostering-ofsted-dataset-2015-16-mapping-codes,Tenant & System Administration,Reference Data / Lookups
80,242,My Reports - Fostering OFSTED Dataset 2016-17 - Mapping Codes,https://charmswiki.com/wiki/135/my-reports-fostering-ofsted-dataset-2016-17-mapping-codes,Tenant & System Administration,Reference Data / Lookups
81,246,My Reports - Fostering OFSTED Dataset 2019-20 - Mapping Codes,https://charmswiki.com/wiki/193/my-reports-fostering-ofsted-dataset-2019-20-mapping-codes,Tenant & System Administration,Reference Data / Lookups
82,249,My Reports - Fostering OFSTED Dataset 2021-22 - Mapping Codes,https://charmswiki.com/wiki/383/my-reports-fostering-ofsted-dataset-2021-22-mapping-codes,Tenant & System Administration,Reference Data / Lookups
83,251,My Reports - Fostering Ofsted Dataset 2022-23 - Mapping Codes,https://charmswiki.com/wiki/399/my-reports-fostering-ofsted-dataset-2022-23-mapping-codes,Tenant & System Administration,Reference Data / Lookups
84,252,My Reports - Fostering Ofsted Dataset 2023-2024 - Mapping Codes,https://charmswiki.com/wiki/410/my-reports-fostering-ofsted-dataset-2023-2024-mapping-codes,Tenant & System Administration,Reference Data / Lookups
85,296,Other Options - Edit Lookup Lists - Manage Lookup Lists,https://charmswiki.com/wiki/381/other-options-edit-lookup-lists-manage-lookup-lists,Tenant & System Administration,Reference Data / Lookups
86,297,Other Options - Edit Lookup Lists - Staff Actions,https://charmswiki.com/wiki/248/other-options-edit-lookup-lists-staff-actions,Tenant & System Administration,Reference Data / Lookups
87,357,Settings - Edit Lookup Lists - Action Related Data Fields,https://charmswiki.com/wiki/416/settings-edit-lookup-lists-action-related-data-fields,Tenant & System Administration,Reference Data / Lookups
88,358,Settings - Edit Lookup Lists - Actions,https://charmswiki.com/wiki/230/settings-edit-lookup-lists-actions,Tenant & System Administration,Reference Data / Lookups
89,359,Settings - Edit Lookup Lists - Daily Log Scores,https://charmswiki.com/wiki/405/settings-edit-lookup-lists-daily-log-scores,Tenant & System Administration,Reference Data / Lookups
90,51,Charms-Pay - How to Use Reports,https://charmswiki.com/wiki/285/charms-pay-how-to-use-reports,Tenant & System Administration,Help & Training
91,147,Formatting text in CHARMS,https://charmswiki.com/wiki/332/formatting-text-in-charms,Tenant & System Administration,Help & Training
92,152,Independent Assessors - Using Charms,https://charmswiki.com/wiki/121/independent-assessors-using-charms,Tenant & System Administration,Help & Training
93,192,Modify Child - Training,https://charmswiki.com/wiki/139/modify-child-training,Tenant & System Administration,Help & Training
94,206,Modify Family - Carer Training,https://charmswiki.com/wiki/94/modify-family-carer-training,Tenant & System Administration,Help & Training
95,239,My Reports - Fostering OFSTED Dataset 2016-17 - Guidance for Children,https://charmswiki.com/wiki/136/my-reports-fostering-ofsted-dataset-2016-17-guidance-for-children,Tenant & System Administration,Help & Training
96,240,My Reports - Fostering OFSTED Dataset 2016-17 - Guidance for Families,https://charmswiki.com/wiki/137/my-reports-fostering-ofsted-dataset-2016-17-guidance-for-families,Tenant & System Administration,Help & Training
97,241,My Reports - Fostering OFSTED Dataset 2016-17 - Guidance for Other Data,https://charmswiki.com/wiki/138/my-reports-fostering-ofsted-dataset-2016-17-guidance-for-other-data,Tenant & System Administration,Help & Training
98,243,My Reports - Fostering OFSTED Dataset 2017-18 - Guidance for Children,https://charmswiki.com/wiki/191/my-reports-fostering-ofsted-dataset-2017-18-guidance-for-children,Tenant & System Administration,Help & Training
99,244,My Reports - Fostering OFSTED Dataset 2017-18 - Guidance for Families,https://charmswiki.com/wiki/190/my-reports-fostering-ofsted-dataset-2017-18-guidance-for-families,Tenant & System Administration,Help & Training
100,245,My Reports - Fostering OFSTED Dataset 2017-18 - Guidance for Other Data,https://charmswiki.com/wiki/192/my-reports-fostering-ofsted-dataset-2017-18-guidance-for-other-data,Tenant & System Administration,Help & Training
101,247,My Reports - Fostering OFSTED Dataset 2020-21 - Guidance for Families,https://charmswiki.com/wiki/368/my-reports-fostering-ofsted-dataset-2020-21-guidance-for-families,Tenant & System Administration,Help & Training
102,248,My Reports - Fostering OFSTED Dataset 2021-22 - Guidance for Families,https://charmswiki.com/wiki/384/my-reports-fostering-ofsted-dataset-2021-22-guidance-for-families,Tenant & System Administration,Help & Training
103,250,My Reports - Fostering Ofsted Dataset 2022-23 - Guidance for Families,https://charmswiki.com/wiki/398/my-reports-fostering-ofsted-dataset-2022-23-guidance-for-families,Tenant & System Administration,Help & Training
104,253,My Reports - Fostering Ofsted Dataset 2023-24 - Guidance for Families,https://charmswiki.com/wiki/409/my-reports-fostering-ofsted-dataset-2023-24-guidance-for-families,Tenant & System Administration,Help & Training
105,254,My Reports - Fostering Ofsted Dataset 2024-25 - Guidance for Families,https://charmswiki.com/wiki/413/my-reports-fostering-ofsted-dataset-2024-25-guidance-for-families,Tenant & System Administration,Help & Training
106,285,Options - Training - Adding a Course,https://charmswiki.com/wiki/46/options-training-adding-a-course,Tenant & System Administration,Help & Training
107,286,Options - Training - Archiving a Course,https://charmswiki.com/wiki/172/options-training-archiving-a-course,Tenant & System Administration,Help & Training
108,287,Options - Training - Calendar,https://charmswiki.com/wiki/385/options-training-calendar,Tenant & System Administration,Help & Training
109,289,Options - Training - Delegate lists and Certificates,https://charmswiki.com/wiki/170/options-training-delegate-lists-and-certificates,Tenant & System Administration,Help & Training
110,290,Options - Training - Using a course,https://charmswiki.com/wiki/47/options-training-using-a-course,Tenant & System Administration,Help & Training
